Material_ID,Material_Name,Category,Opening_Stock_kg,Received_kg,Consumed_kg,Closing_Stock_kg,Reorder_Point_kg,Safety_Stock_kg,Lead_Time_Days,Supplier_Name,Last_Delivery_Date,Next_Expected_Delivery
NR001,SMR 20 Rubber,Natural Rubber,25000,10000,18000,17000,15000,12000,14,Kerala Latex Industries,20-05-2026,10-06-2026
NR002,RSS Grade 3,Natural Rubber,18000,5000,14000,9000,12000,10000,12,Malabar Rubber Co,22-05-2026,08-06-2026
NR003,RSS Grade 4,Natural Rubber,22000,8000,17000,13000,14000,11000,14,Kerala Latex Industries,19-05-2026,11-06-2026
NR004,TSR 10,Natural Rubber,16000,4000,12000,8000,11000,9000,10,South India Rubber Ltd,25-05-2026,09-06-2026
NR005,TSR 20,Natural Rubber,28000,12000,20000,20000,16000,13000,15,Malabar Rubber Co,18-05-2026,12-06-2026
NR006,Creped Rubber,Natural Rubber,12000,3000,10000,5000,8000,7000,11,Kerala Latex Industries,21-05-2026,07-06-2026
NR007,Latex Concentrate,Natural Rubber,14000,5000,11000,8000,9000,7500,9,South India Rubber Ltd,24-05-2026,06-06-2026
NR008,Field Coagulum,Natural Rubber,10000,2000,8500,3500,7000,6000,8,Malabar Rubber Co,23-05-2026,05-06-2026
NR009,Rubber Compound Base,Natural Rubber,30000,15000,22000,23000,18000,15000,16,Kerala Latex Industries,17-05-2026,13-06-2026
NR010,Premium Natural Rubber,Natural Rubber,26000,8000,21000,13000,15000,12000,13,South India Rubber Ltd,20-05-2026,10-06-2026
SR001,SBR 1502,Synthetic Rubber,24000,10000,18000,16000,14000,11000,18,PetroPolymer Ltd,18-05-2026,15-06-2026
SR002,SBR 1712,Synthetic Rubber,20000,5000,17000,8000,13000,10000,17,Reliance Elastomers,20-05-2026,14-06-2026
SR003,BR 1203,Synthetic Rubber,15000,4000,13000,6000,9000,7500,15,PetroPolymer Ltd,22-05-2026,12-06-2026
SR004,BR 1220,Synthetic Rubber,18000,6000,14000,10000,11000,8500,16,Indian Synthetic Corp,21-05-2026,13-06-2026
SR005,NBR 3345,Synthetic Rubber,12000,3000,9000,6000,8000,6500,14,Reliance Elastomers,24-05-2026,11-06-2026
